SETTLEMENT,LHZ_CODE,DISTRICT,REGION,LHZ
carto,6,Bossaso,Bari,nip
cashabirkan,16,Buur Hakaba,Bay,bay
caydarosh,3,Hargeysa,Woqooyi Galbeed,nw
cayngala,3,Gebiley,Woqooyi Galbeed,nw
ceegsaaf,6,Caynabo,Sool,nip
ceelabey,16,Qansax Dheere,Bay,bay
ceelbardaale,3,Gebiley,Woqooyi Galbeed,nw
ceelberde,5,Gaalkacyo,Mudug,hawd
ceelcade,6,Ceel Afweyn,Sanaag,nip
ceeldameer,11,Luuq,Gedo,southern
siyaara,1,Berbera,Woqooyi Galbeed,guban
ceeldhaab,6,Caynabo,Sool,nip
ceeldhidar,8,Bandarbeyla,Bari,deeh
ceeldhunadeegow,16,Baydhaba,Bay,bay
ceeldoofar,6,Bossaso,Bari,nip
ceelgoof,16,Baydhaba,Bay,bay
ceelguula,9,Hobyo,Mudug,addun
ceelileedsatellite,7,Ceerigaabo,Sanaag,east golis
ceelkacusub,17,Balcad,Shabelle Dhexe,rainfed
ceellaas,7,Caluula,Bari,east golis
ceellaqoday,6,Laasqoray,Sanaag,nip
ceellaqodaysatellite,7,Ceerigaabo,Sanaag,east golis
ceelmidgaan,6,Ceel Afweyn,Sanaag,nip
ceelmuudaan,5,Gaalkacyo,Mudug,hawd
ceelow,17,Balcad,Shabelle Dhexe,rainfed
ceelquud,7,Caluula,Bari,east golis
yos,1,Berbera,Woqooyi Galbeed,guban
ceelweyne,5,Burtinle,Nugaal,hawd
ceeryaansatellite,6,Ceel Afweyn,Sanaag,nip
celakhwan,9,Gaalkacyo,Mudug,addun
celi,2,Baki,Awdal,west golis
celxagar,9,Jariiban,Mudug,addun
cilaamo,7,Ceel Afweyn,Sanaag,east golis
cilaanley,17,Balcad,Shabelle Dhexe,rainfed
cilmijawle,5,Cabudwaaq,Galgaduud,hawd
cirshiidasatellite,7,Ceerigaabo,Sanaag,east golis
conqoro,7,Iskushuban,Bari,east golis
coomaay,7,Iskushuban,Bari,east golis
cunaqabad,3,Hargeysa,Woqooyi Galbeed,nw
cusboole,16,Baydhaba,Bay,bay
daaifo,14,Jowhar,Shabelle Dhexe,riverine
daaniya,16,Baydhaba,Bay,bay
daanjeri,16,Baydhaba,Bay,bay
daanweynesatellite,6,Ceel Afweyn,Sanaag,nip
daarta,16,Qansax Dheere,Bay,bay
dabadabay,16,Baydhaba,Bay,bay
dabagoroyaale,5,Owdweyne,Togdheer,hawd
dabahandabo,7,Caluula,Bari,east golis
dabare,5,Dhuusamarreeb,Galgaduud,hawd
dabataag,5,Laas Caanood,Sool,hawd
dabeyley,17,Jowhar,Shabelle Dhexe,rainfed
biyoguure,1,Berbera,Woqooyi Galbeed,guban
dacarta,16,Buur Hakaba,Bay,bay
dacawo,6,Ceerigaabo,Sanaag,nip
dadale,5,Dhuusamarreeb,Galgaduud,hawd
dadbaa,16,Buur Hakaba,Bay,bay
dagaari,9,Gaalkacyo,Mudug,addun
dagardhere,16,Buur Hakaba,Bay,bay
dakanne,16,Baydhaba,Bay,bay
dalaw,2,Berbera,Woqooyi Galbeed,west golis
dalsan,6,Ceerigaabo,Sanaag,nip
dalwayn,6,Qardho,Bari,nip
dalyar,6,Laas Caanood,Sool,nip
damal,17,Jowhar,Shabelle Dhexe,rainfed
damalaxagarre,6,Ceerigaabo,Sanaag,nip
damalexagare,6,Ceerigaabo,Sanaag,nip
damaley,14,Balcad,Shabelle Dhexe,riverine
damasha,14,Jowhar,Shabelle Dhexe,riverine
dambal,16,Baydhaba,Bay,bay
dambale,16,Baydhaba,Bay,bay
damballi,16,Baydhaba,Bay,bay
dameer,7,Bossaso,Bari,east golis
dameerow,14,Balcad,Shabelle Dhexe,riverine
damo,7,Caluula,Bari,east golis
dan,5,Laas Caanood,Sool,hawd
danaaley,16,Buur Hakaba,Bay,bay
danjere,16,Baydhaba,Bay,bay
darantaleex,6,Taleex,Sool,nip
dararweyne,6,Ceerigaabo,Sanaag,nip
darasalaam,2,Hargeysa,Woqooyi Galbeed,west golis
darasalam,5,Galdogob,Mudug,hawd
daray,7,Ceerigaabo,Sanaag,east golis
darayle,6,Garoowe,Nugaal,nip
darayquruxsan,2,Borama,Awdal,west golis
dare,6,Xudun,Sool,nip
darrow,16,Baydhaba,Bay,bay
daryageesawayn,6,Xudun,Sool,nip
daryalle,7,Ceel Afweyn,Sanaag,east golis
daudow,16,Baydhaba,Bay,bay
dawacaaley,6,Iskushuban,Bari,nip
daweeda,16,Buur Hakaba,Bay,bay
dayaano,5,Cadaado,Galgaduud,hawd
dayal,16,Baydhaba,Bay,bay
dayaxa,7,Ceerigaabo,Sanaag,east golis
debbis,2,Hargeysa,Woqooyi Galbeed,west golis
dedbanley,16,Baydhaba,Bay,bay
deebli,16,Baydhaba,Bay,bay
deebwiine,16,Diinsoor,Bay,bay
degaanley,14,Balcad,Shabelle Dhexe,riverine
deggomor,16,Diinsoor,Bay,bay
degjinay,16,Baydhaba,Bay,bay
dejimaale,9,Hobyo,Mudug,addun
dereersin,16,Baydhaba,Bay,bay
deymosaar,17,Balcad,Shabelle Dhexe,rainfed
deymosame,14,Balcad,Shabelle Dhexe,riverine
deynunaymainvillage,16,Baydhaba,Bay,bay
dhaankadus,7,Qandala,Bari,east golis
dhaaydheere,13,Luuq,Gedo,riverine
dhaaysigubidi,16,Buur Hakaba,Bay,bay
dhabad,5,Cabudwaaq,Galgaduud,hawd
dhabihagoog,2,Hargeysa,Woqooyi Galbeed,west golis
dhaboolaq,3,Hargeysa,Woqooyi Galbeed,nw
dhafaadfuurka,16,Buur Hakaba,Bay,bay
dhagala,3,Hargeysa,Woqooyi Galbeed,nw
dhagaxamadow,2,Borama,Awdal,west golis
dhagaxlaha,8,Eyl,Nugaal,deeh
dhagaxow,14,Balcad,Shabelle Dhexe,riverine
dhagaxwayne,2,Baki,Awdal,west golis
dhalbadane,16,Buur Hakaba,Bay,bay
dhalinraqas,8,Eyl,Nugaal,deeh
dhamaso,11,Belet Xaawo,Gedo,southern
dhamiijetiro,6,Bossaso,Bari,nip
dhammay,5,Buuhoodle,Togdheer,hawd
dhanaano,6,Caynabo,Sool,nip
dhanbalka,16,Baydhaba,Bay,bay
dhardhar,5,Gaalkacyo,Mudug,hawd
dhariinbaar,8,Bandarbeyla,Bari,deeh
dhariiqo,16,Baydhaba,Bay,bay
dhariqosheikhmadaliyow,16,Baydhaba,Bay,bay
dharoor,6,Iskushuban,Bari,nip
dharqa,16,Diinsoor,Bay,bay
dharyo,6,Ceerigaabo,Sanaag,nip
dhaxamo,7,Ceerigaabo,Sanaag,east golis
dhayaal,16,Baydhaba,Bay,bay
dhayba,16,Baydhaba,Bay,bay
dhaydhay,16,Baydhaba,Bay,bay
dhaygawaan,17,Jowhar,Shabelle Dhexe,rainfed
dhaymoole,2,Berbera,Woqooyi Galbeed,west golis
dheen,2,Baki,Awdal,west golis
dheenawebdialiyow,16,Buur Hakaba,Bay,bay
dheenawroobow,16,Buur Hakaba,Bay,bay
dheenta,2,Hargeysa,Woqooyi Galbeed,west golis
dheganle,5,Burtinle,Nugaal,hawd
dhegdheglolle,16,Baydhaba,Bay,bay
dhiganle,9,Eyl,Nugaal,addun
dhiigdar,16,Buur Hakaba,Bay,bay
dhimbilriyaale,3,Hargeysa,Woqooyi Galbeed,nw
dhinawdadhigdhigley,8,Jariiban,Mudug,deeh
dhinowda,8,Eyl,Nugaal,deeh
dhirey,16,Baydhaba,Bay,bay
dhirta,16,Baydhaba,Bay,bay
dhoob,6,Ceerigaabo,Sanaag,nip
dhoobacanutug,5,Eyl,Nugaal,hawd
dhoomale,16,Buur Hakaba,Bay,bay
dhubato,2,Hargeysa,Woqooyi Galbeed,west golis
dhubbay,16,Baydhaba,Bay,bay
dhubudka,16,Baydhaba,Bay,bay
dhujiilow,16,Baydhaba,Bay,bay
dhukuy,16,Baydhaba,Bay,bay
dhumey,16,Buur Hakaba,Bay,bay
dhummay,6,Taleex,Sool,nip
dhundhufay,16,Buur Hakaba,Bay,bay
dhursheele,16,Baydhaba,Bay,bay
dhursheenlow,16,Baydhaba,Bay,bay
dhuudo,6,Bandarbeyla,Bari,nip
dhuumoodle,5,Cabudwaaq,Galgaduud,hawd
dhuur,8,Bandarbeyla,Bari,deeh
dhuurmadare,6,Ceerigaabo,Sanaag,nip
dhuxun,2,Berbera,Woqooyi Galbeed,west golis
dibara,5,Cabudwaaq,Galgaduud,hawd
dibir,7,Caluula,Bari,east golis
dibqarax,6,Ceerigaabo,Sanaag,nip
dibshabeel,6,Xudun,Sool,nip
diinigoobaale,3,Hargeysa,Woqooyi Galbeed,nw
diinle,16,Baydhaba,Bay,bay
diinqal,3,Hargeysa,Woqooyi Galbeed,nw
dilla,3,Borama,Awdal,nw
diribquuy,16,Buur Hakaba,Bay,bay
dixgudban,2,Borama,Awdal,west golis
doboolow,16,Baydhaba,Bay,bay
docol,9,Gaalkacyo,Mudug,addun
docolay,5,Cadaado,Galgaduud,hawd
dogob,5,Burtinle,Nugaal,hawd
doodaale,16,Buur Hakaba,Bay,bay
doomariyo,8,Jariiban,Mudug,deeh
doonka,16,Baydhaba,Bay,bay
doonwarabi,16,Baydhaba,Bay,bay
doonyahasattellite,7,Ceerigaabo,Sanaag,east golis
dooraweri,16,Baydhaba,Bay,bay
dooxoguban,2,Hargeysa,Woqooyi Galbeed,west golis
dooyeshiidle,16,Buur Hakaba,Bay,bay
dooygaab,16,Buur Hakaba,Bay,bay
dooygodobey,16,Buur Hakaba,Bay,bay
dooyuruk,16,Buur Hakaba,Bay,bay
dowaay,16,Buur Hakaba,Bay,bay
doweelow,16,Baydhaba,Bay,bay
doyaleey,16,Buur Hakaba,Bay,bay
dubad,7,Ceerigaabo,Sanaag,east golis
dubigas,16,Baydhaba,Bay,bay
dudumiya,16,Buur Hakaba,Bay,bay
dugowdugow,16,Baydhaba,Bay,bay
dulanta,16,Qansax Dheere,Bay,bay
duluunka,16,Baydhaba,Bay,bay
duluunte,16,Baydhaba,Bay,bay
durdur,6,Ceerigaabo,Sanaag,nip
durdura,8,Bandarbeyla,Bari,deeh
durow,16,Baydhaba,Bay,bay
duruqsi,5,Burco,Togdheer,hawd
duudhooyo,6,Iskushuban,Bari,nip
duudweeyn,5,Owdweyne,Togdheer,hawd
duukaanki,16,Buur Hakaba,Bay,bay
duuraay,13,Luuq,Gedo,riverine
duurcad,5,Owdweyne,Togdheer,hawd
duurow,16,Baydhaba,Bay,bay
ebdiyoowgedow,16,Buur Hakaba,Bay,bay
eddowmaadow,16,Baydhaba,Bay,bay
edeybeerey,16,Baydhaba,Bay,bay
ediingaalbele,16,Baydhaba,Bay,bay
ediinlidoow,16,Buur Hakaba,Bay,bay
edinmadoobe,16,Baydhaba,Bay,bay
edow,16,Baydhaba,Bay,bay
eedinfaay,16,Baydhaba,Bay,bay
eedinmaamud,16,Qansax Dheere,Bay,bay
eedinwaraabow,16,Baydhaba,Bay,bay
eeedtaala,16,Baydhaba,Bay,bay
eeq,16,Baydhaba,Bay,bay
eesow,16,Qansax Dheere,Bay,bay
eeyta,16,Buur Hakaba,Bay,bay
elder,9,Dhuusamarreeb,Galgaduud,addun
eldhun,16,Baydhaba,Bay,bay
elgorei,9,Hobyo,Mudug,addun
enjegen,16,Baydhaba,Bay,bay
erimow,16,Buur Hakaba,Bay,bay
faajar,16,Baydhaba,Bay,bay
faajarbusul,16,Baydhaba,Bay,bay
faaraxgololey,14,Balcad,Shabelle Dhexe,riverine
fadac,2,Gebiley,Woqooyi Galbeed,west golis
fadhigaab,6,Ceel Afweyn,Sanaag,nip
fagoolo,7,Caluula,Bari,east golis
fahda,3,Hargeysa,Woqooyi Galbeed,nw
fajiitoole,16,Baydhaba,Bay,bay
faleeryale,6,Laas Caanood,Sool,nip
falfalax,8,Bandarbeyla,Bari,deeh
fanqalka,16,Baydhaba,Bay,bay
farale,16,Buur Hakaba,Bay,bay
faranfar,7,Caluula,Bari,east golis
faratiyow,16,Baydhaba,Bay,bay
faratoogo,5,Burtinle,Nugaal,hawd
farbaraako,14,Balcad,Shabelle Dhexe,riverine
farcaanood,7,Laasqoray,Sanaag,east golis
carowareen,1,Borama,Awdal,guban
farjano,5,Burtinle,Nugaal,hawd
farta,16,Buur Hakaba,Bay,bay
fidiqalale,14,Balcad,Shabelle Dhexe,riverine
fiidow,16,Baydhaba,Bay,bay
fiilka,16,Buur Hakaba,Bay,bay
fiinka,16,Buur Hakaba,Bay,bay
filfilka,16,Baydhaba,Bay,bay
finkafuuri,16,Baydhaba,Bay,bay
dabodilaac,1,Borama,Awdal,guban
fiqifuliye,6,Ceerigaabo,Sanaag,nip
fiqishini,6,Xudun,Sool,nip
foocaar,8,Iskushuban,Bari,deeh
foodakidiga,3,Gebiley,Woqooyi Galbeed,nw
foolfeyle,16,Baydhaba,Bay,bay
fulayka,16,Buur Hakaba,Bay,bay
fulayley,16,Buur Hakaba,Bay,bay
fundhucdule,8,Bandarbeyla,Bari,deeh
futug,16,Baydhaba,Bay,bay
fuuddoora,16,Buur Hakaba,Bay,bay
fuudsaqaar,16,Buur Hakaba,Bay,bay
gaabaney,17,Jowhar,Shabelle Dhexe,rainfed
gaabkuule,16,Buur Hakaba,Bay,bay
gaad,6,Ceel Afweyn,Sanaag,nip
gaalaood,8,Eyl,Nugaal,deeh
gaaldiid,16,Baydhaba,Bay,bay
gaalmidoowle,16,Baydhaba,Bay,bay
gaalweel,16,Baydhaba,Bay,bay
gaalyarow,16,Baydhaba,Bay,bay
gaanuugle,16,Baydhaba,Bay,bay
gaassagaare,16,Baydhaba,Bay,bay
gaatama,5,Burco,Togdheer,hawd
gaatiroodan,7,Qandala,Bari,east golis
gabac,8,Eyl,Nugaal,deeh
gabdhohaways,5,Buuhoodle,Togdheer,hawd
gacan,2,Hargeysa,Woqooyi Galbeed,west golis
gadhka,6,Caynabo,Sool,nip
gadhkayogolka,3,Hargeysa,Woqooyi Galbeed,nw
gadoon,5,Dhuusamarreeb,Galgaduud,hawd
gafay,14,Jowhar,Shabelle Dhexe,riverine
galamamacalinweyne,16,Baydhaba,Bay,bay
galbarwaaqosaxqurun,9,Cadaado,Galgaduud,addun
galboy,16,Buur Hakaba,Bay,bay
galdhuumood,5,Galdogob,Mudug,hawd
galeygaley,16,Baydhaba,Bay,bay
galgorum,9,Hobyo,Mudug,addun
galinsoor,5,Cadaado,Galgaduud,hawd
galloldheere,16,Buur Hakaba,Bay,bay
galmaygaag,5,Cabudwaaq,Galgaduud,hawd
galoltuuri,16,Buur Hakaba,Bay,bay
galoolalimow,16,Buur Hakaba,Bay,bay
galoolbure,16,Buur Hakaba,Bay,bay
galoolbuul,16,Buur Hakaba,Bay,bay
galooldheer,7,Ceerigaabo,Sanaag,east golis
galooldheere,16,Buur Hakaba,Bay,bay
galooldheereawuwow,16,Buur Hakaba,Bay,bay
galooleedinmahad,16,Buur Hakaba,Bay,bay
galoolle,16,Baydhaba,Bay,bay
galoolmadobe,5,Burco,Togdheer,hawd
galooloomani,16,Buur Hakaba,Bay,bay
galoolowwiin,16,Buur Hakaba,Bay,bay
galoolrumi,16,Baydhaba,Bay,bay
galooltuur,16,Buur Hakaba,Bay,bay
galooltuure,16,Buur Hakaba,Bay,bay
galoolyere,16,Buur Hakaba,Bay,bay
galooshi,16,Buur Hakaba,Bay,bay
galowamale,16,Buur Hakaba,Bay,bay
gambare,6,Laas Caanood,Sool,nip
fiqiaadan,1,Borama,Awdal,guban
garaagarow,16,Buur Hakaba,Bay,bay
garaash,14,Balcad,Shabelle Dhexe,riverine
garabad,6,Ceerigaabo,Sanaag,nip
garabhar,8,Eyl,Nugaal,deeh
garabis,3,Hargeysa,Woqooyi Galbeed,nw
garabkarid,7,Ceerigaabo,Sanaag,east golis
garangarasle,16,Baydhaba,Bay,bay
gararta,16,Qansax Dheere,Bay,bay
garasbarey,17,Wanla Weyn,Shabelle Hoose,rainfed
garasbintow,17,Balcad,Shabelle Dhexe,rainfed
garasbule,16,Buur Hakaba,Bay,bay
garasdheere,16,Baydhaba,Bay,bay
garasdhere,16,Baydhaba,Bay,bay
garasfur,16,Diinsoor,Bay,bay
garasgamaw,16,Baydhaba,Bay,bay
garasgod,16,Baydhaba,Bay,bay
garasgodmainvillage,16,Buur Hakaba,Bay,bay
garasgoof,16,Baydhaba,Bay,bay
garasmankey,16,Qansax Dheere,Bay,bay
garbadheere,2,Gebiley,Woqooyi Galbeed,west golis
garbodheere,2,Hargeysa,Woqooyi Galbeed,west golis
garbohaadley,3,Gebiley,Woqooyi Galbeed,nw
gardomaale,16,Buur Hakaba,Bay,bay
gareerixassanaden,16,Baydhaba,Bay,bay
garfiile,16,Baydhaba,Bay,bay
gargaar,2,Berbera,Woqooyi Galbeed,west golis
gargaarabari,2,Baki,Awdal,west golis
gargoore,7,Iskushuban,Bari,east golis
garhel,6,Qardho,Bari,nip
gariiri,16,Buur Hakaba,Bay,bay
garmaal,8,Bandarbeyla,Bari,deeh
garsalei,17,Wanla Weyn,Shabelle Hoose,rainfed
garsare,17,Wanla Weyn,Shabelle Hoose,rainfed
garuble,6,Ceel Afweyn,Sanaag,nip
gawti,16,Baydhaba,Bay,bay
gebagebaga,16,Buur Hakaba,Bay,bay
gebboyyerey,16,Baydhaba,Bay,bay
gebishaale,16,Buur Hakaba,Bay,bay
gebleyboqolka,16,Baydhaba,Bay,bay
geboooy,16,Baydhaba,Bay,bay
gediisoy,16,Buur Hakaba,Bay,bay
geedabeera,3,Hargeysa,Woqooyi Galbeed,nw
geedballaadh,3,Gebiley,Woqooyi Galbeed,nw
geedcaday,2,Berbera,Woqooyi Galbeed,west golis
geedcashar,14,Balcad,Shabelle Dhexe,riverine
geeddeeble,2,Hargeysa,Woqooyi Galbeed,west golis
geedilibaax,2,Hargeysa,Woqooyi Galbeed,west golis
geedlibaax,2,Sheikh,Togdheer,west golis
geedobarkaan,14,Jowhar,Shabelle Dhexe,riverine
geedweynesectin,13,Doolow,Gedo,riverine
geeldidis,5,Owdweyne,Togdheer,hawd
geelkagoojis,2,Zeylac,Awdal,west golis
geelwayta,7,Ceerigaabo,Sanaag,east golis
geelweyta,7,Ceerigaabo,Sanaag,east golis
beeyomacaan,1,Lughaye,Awdal,guban
geesaley,7,Caluula,Bari,east golis
geesoqabad,7,Bossaso,Bari,east golis
geldda,16,Baydhaba,Bay,bay
geldheere,16,Baydhaba,Bay,bay
gelelowyarey,16,Buur Hakaba,Bay,bay
gelgeliwiin,16,Buur Hakaba,Bay,bay
gelgelow,16,Baydhaba,Bay,bay
gidhays,5,Cadaado,Galgaduud,hawd
gillabrugis,9,Hobyo,Mudug,addun
gobdheer,3,Hargeysa,Woqooyi Galbeed,nw
gobrou,7,Caluula,Bari,east golis
gocandhaley,5,Owdweyne,Togdheer,hawd
gocondhaale,5,Buuhoodle,Togdheer,hawd
godamadera,5,Owdweyne,Togdheer,hawd
godbalayskutumay,9,Eyl,Nugaal,addun
godcaanood,6,Ceel Afweyn,Sanaag,nip
goddheer,6,Xudun,Sool,nip
godheeli,7,Ceel Afweyn,Sanaag,east golis
godinlabe,5,Dhuusamarreeb,Galgaduud,hawd
godkaawiidow,16,Buur Hakaba,Bay,bay
godkacarada,3,Gebiley,Woqooyi Galbeed,nw
godobaddon,9,Eyl,Nugaal,addun
godoble,6,Xudun,Sool,nip
godwaraabe,6,Ceerigaabo,Sanaag,nip
gogaysahoose,3,Gebiley,Woqooyi Galbeed,nw
gogaysaupper,3,Gebiley,Woqooyi Galbeed,nw
gogeysa,3,Gebiley,Woqooyi Galbeed,nw
gogolis,16,Buur Hakaba,Bay,bay
goleywiine,16,Buur Hakaba,Bay,bay
goleyyarey,16,Buur Hakaba,Bay,bay
golgolwanaag,3,Hargeysa,Woqooyi Galbeed,nw
golli,16,Baydhaba,Bay,bay
golmalable,16,Baydhaba,Bay,bay
gololey,14,Balcad,Shabelle Dhexe,riverine
goloolle,16,Baydhaba,Bay,bay
golooloomane,16,Buur Hakaba,Bay,bay
golweyn,16,Baydhaba,Bay,bay
gomarta,16,Baydhaba,Bay,bay
gomorey,16,Buur Hakaba,Bay,bay
gomorshe,16,Buur Hakaba,Bay,bay
gondoli,7,Iskushuban,Bari,east golis
goob,7,Ceerigaabo,Sanaag,east golis
goobiya,7,Caluula,Bari,east golis
goobroon,16,Baydhaba,Bay,bay
goobweyne,16,Baydhaba,Bay,bay
goodalow,16,Baydhaba,Bay,bay
goof,16,Buur Hakaba,Bay,bay
goofaddi,16,Baydhaba,Bay,bay
goofcadey,16,Baydhaba,Bay,bay
goofdhuubow,16,Baydhaba,Bay,bay
goofgaduudshabelow,16,Baydhaba,Bay,bay
goofgalool,16,Baydhaba,Bay,bay
goofka,16,Baydhaba,Bay,bay
goofmaaday,16,Baydhaba,Bay,bay
goofmareereweyn,16,Baydhaba,Bay,bay
goofmareeryerey,16,Baydhaba,Bay,bay
goofo,11,Doolow,Gedo,southern
goofyarow,16,Baydhaba,Bay,bay
goomaale,16,Baydhaba,Bay,bay
gooraan,6,Ceerigaabo,Sanaag,nip
goorisine,16,Baydhaba,Bay,bay
gooybir,16,Buur Hakaba,Bay,bay
gorgoray,2,Borama,Awdal,west golis
gorofley,6,Xudun,Sool,nip
goroyocawl,3,Borama,Awdal,nw
goroyoood,5,Burco,Togdheer,hawd
gosaweyne,11,Belet Xaawo,Gedo,southern
gowan,16,Buur Hakaba,Bay,bay
gowlalo,5,Gaalkacyo,Mudug,hawd
gubato,7,Bossaso,Bari,east golis
gubi,16,Baydhaba,Bay,bay
gubti,16,Buur Hakaba,Bay,bay
gubudi,16,Baydhaba,Bay,bay
gubudsagaar,16,Baydhaba,Bay,bay
gudado,5,Owdweyne,Togdheer,hawd
gudmahadlesatellite,7,Ceerigaabo,Sanaag,east golis
gudmoafaafsatellite,7,Ceerigaabo,Sanaag,east golis
gudmobiyocas,7,Ceel Afweyn,Sanaag,east golis
gudweyn,16,Buur Hakaba,Bay,bay
gumar,5,Hargeysa,Woqooyi Galbeed,hawd
gumarey,14,Jowhar,Shabelle Dhexe,riverine
gumartashiidkuus,16,Qansax Dheere,Bay,bay
gumbah,7,Iskushuban,Bari,east golis
gumbax,8,Iskushuban,Bari,deeh
gumbiyi,16,Buur Hakaba,Bay,bay
gumburaha,5,Hargeysa,Woqooyi Galbeed,hawd
bulloqoxle,1,Lughaye,Awdal,guban
gurbaan,16,Diinsoor,Bay,bay
guriasamo,7,Qandala,Bari,east golis
guricad,3,Gebiley,Woqooyi Galbeed,nw
gurur,7,Qandala,Bari,east golis
guryasan,7,Ceel Afweyn,Sanaag,east golis
guudcad,6,Qardho,Bari,nip
guuliti,16,Baydhaba,Bay,bay
guulmawaydo,3,Gebiley,Woqooyi Galbeed,nw
guulmaweydo,3,Gebiley,Woqooyi Galbeed,nw
guumays,6,Caynabo,Sool,nip
guumbe,14,Jowhar,Shabelle Dhexe,riverine
guunse,16,Baydhaba,Bay,bay
haadfuul,13,Doolow,Gedo,riverine
haaf,16,Buur Hakaba,Bay,bay
haakow,17,Wanla Weyn,Shabelle Hoose,rainfed
haanoy,13,Luuq,Gedo,riverine
haanta,16,Baydhaba,Bay,bay
haarlokormari,16,Baydhaba,Bay,bay
habaas,2,Zeylac,Awdal,west golis
habaasweyn,3,Hargeysa,Woqooyi Galbeed,nw
habardooy,16,Baydhaba,Bay,bay
habargari,16,Buur Hakaba,Bay,bay
habariheshay,5,Caynabo,Sool,hawd
habarshiro,6,Laasqoray,Sanaag,nip
habarwanood,16,Baydhaba,Bay,bay
habarway,17,Afgooye,Shabelle Hoose,rainfed
habaswayn,5,Owdweyne,Togdheer,hawd
habedow,16,Buur Hakaba,Bay,bay
hablifurey,16,Baydhaba,Bay,bay
habriirow,16,Baydhaba,Bay,bay
hadaaftimo,7,Ceerigaabo,Sanaag,east golis
buloxareed,1,Lughaye,Awdal,guban
hadhley,2,Gebiley,Woqooyi Galbeed,west golis
fardalaguxidh,1,Lughaye,Awdal,guban
hadla,6,Ceel Afweyn,Sanaag,nip
hagaray,16,Buur Hakaba,Bay,bay
hagarey,16,Qansax Dheere,Bay,bay
hagoogane,2,Borama,Awdal,west golis
hahi,5,Owdweyne,Togdheer,hawd
hahsuga,6,Taleex,Sool,nip
haidirir,5,Burco,Togdheer,hawd
haldhaagan,7,Ceerigaabo,Sanaag,east golis
halgan,14,Balcad,Shabelle Dhexe,riverine
halhaliye,6,Laas Caanood,Sool,nip
haliimow,17,Wanla Weyn,Shabelle Hoose,rainfed
haluul,16,Baydhaba,Bay,bay
handa,8,Iskushuban,Bari,deeh
hanfarow,16,Buur Hakaba,Bay,bay
hangey,6,Xudun,Sool,nip
harada,5,Burco,Togdheer,hawd
haradagubatoxil,5,Burco,Togdheer,hawd
harargamow,16,Buur Hakaba,Bay,bay
hararki,16,Buur Hakaba,Bay,bay
hareed,7,Ceerigaabo,Sanaag,east golis
hareegoli,16,Buur Hakaba,Bay,bay
hareerijiroon,16,Qansax Dheere,Bay,bay
hareeriley,14,Balcad,Shabelle Dhexe,riverine
hareeriwajeer,16,Buur Hakaba,Bay,bay
harerekulan,17,Balcad,Shabelle Dhexe,rainfed
harericaadle,17,Balcad,Shabelle Dhexe,rainfed
harerifalaq,16,Qansax Dheere,Bay,bay
harerihosle,11,Belet Xaawo,Gedo,southern
harerimadoobe,17,Balcad,Shabelle Dhexe,rainfed
hariirdheere,16,Baydhaba,Bay,bay
hariirka,16,Baydhaba,Bay,bay
harosheikh,5,Owdweyne,Togdheer,hawd
hartiqaanle,16,Baydhaba,Bay,bay
hasli,16,Baydhaba,Bay,bay
hassanowaliyere,17,Wanla Weyn,Shabelle Hoose,rainfed
haween,16,Baydhaba,Bay,bay
hayaado,16,Baydhaba,Bay,bay
hayanle,5,Burtinle,Nugaal,hawd
hayayabe,3,Borama,Awdal,nw
haylaan,6,Laasqoray,Sanaag,nip
garaaca,1,Lughaye,Awdal,guban
hebedow,16,Baydhaba,Bay,bay
heema,5,Gaalkacyo,Mudug,hawd
hadhwanaag,1,Lughaye,Awdal,guban
karuure,1,Lughaye,Awdal,guban
laancawaale,1,Lughaye,Awdal,guban
henqeri,16,Baydhaba,Bay,bay
hereemede,16,Diinsoor,Bay,bay
hereerasin,16,Diinsoor,Bay,bay
higloceelcowsle,6,Taleex,Sool,nip
higlofiqi,6,Laas Caanood,Sool,nip
hiilweyne,14,Balcad,Shabelle Dhexe,riverine
hilmo,5,Cadaado,Galgaduud,hawd
hilowkey,16,Buur Hakaba,Bay,bay
hilowkeywiin,16,Buur Hakaba,Bay,bay
hindhaysa,3,Borama,Awdal,nw
hinshiloole,16,Baydhaba,Bay,bay
hobiyoow,16,Baydhaba,Bay,bay
hondoliyow,16,Buur Hakaba,Bay,bay
hoodoyreerawmalinebd,16,Buur Hakaba,Bay,bay
hoosingaabo,7,Iskushuban,Bari,east golis
hoosow,16,Buur Hakaba,Bay,bay
horgobay,16,Baydhaba,Bay,bay
horgoylow,16,Baydhaba,Bay,bay
horgoyta,16,Qansax Dheere,Bay,bay
huburka,16,Baydhaba,Bay,bay
huddigamaas,16,Baydhaba,Bay,bay
huddisa,2,Sheikh,Togdheer,west golis
hulcanood,6,Bandarbeyla,Bari,nip
hulqaboobe,2,Sheikh,Togdheer,west golis
huluul,6,Ceel Afweyn,Sanaag,nip
huluuq,3,Gebiley,Woqooyi Galbeed,nw
hundegaal,7,Ceerigaabo,Sanaag,east golis
hurdiya,8,Iskushuban,Bari,deeh
hursale,7,Caluula,Bari,east golis
huurshe,5,Cabudwaaq,Galgaduud,hawd
huyunley,14,Balcad,Shabelle Dhexe,riverine
ibdowkuusow,16,Diinsoor,Bay,bay
ibrahimmeere,16,Baydhaba,Bay,bay
