"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
1973,2014,3,15,SO,Somalia,"Middle Shabelle",Jowhar,"Jowhar, Hanti-Wadaag",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,2.784056,45.500189,Unknown,"Host State","Somali Armed Forces","SNG soldier shot and killed a UN contracted driver of a truck carrying food aid in Hanti-Wadaag neighbourhood (Jowhar). The incident happened following an unknown dispute. The perpetrator was arrested.",Yes,"Official Report"
1792,2014,7,14,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Ambush,Road,2.039138,45.346191,Incidental,"Non-state armed group: Regional","Al Shabaab","One UN agency contractor was killed in an attack by Al-Shabaab on a government forces vehicle. The victim was reportedly connected with the government and was not targeted for his capacity as an aid agency contractor.",Yes,"Official Report"
1930,2014,10,11,SO,Somalia,Nugal,Burtinle,Burtinle,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,"Bodily assault","Individual attack",Home,7.644954,47.827913,Political,Unaffiliated,"Not applicable","A national staff member in Burtinle, Somalia was assaulted and stabbed with a knife at home by two individuals that had personal grievances against the aid agency that employed the female staff member.",Yes,"Focal Point"
1970,2014,10,12,SO,Somalia,Banadir,Banadir,"Hawl Wadaag, Maka-al-Mukarama Road Area",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Vehicle-born IED","Individual attack","Public location",2.042622,45.327289,Incidental,"Non-state armed group: Regional","Al Shabaab","A vehicle loaded with explosives detonated in front of Aroma Restaurant at Makah Al-Mukaram Road (Hawl-Wadaag District) in the evening. The restaurant was hosting an event to mark 60th anniversary of the founding of the Somali flag. Thirteen people were killed while 18 others were injured, one of the casualties was a local staff member of a INGO.",Yes,"Official Report"
1971,2014,10,25,SO,Somalia,Mudug,Gaalkacyo,Gaalkacyo,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack",Unknown,6.786372,47.433257,Political,"Non-state armed group: Subnational","Dir Clan","A gunman from Dir clan shot and killed a local NGO staff from Majerteen/Biciid yahan sub-clan in Galkacyo in the morning of 25/10. The killing is reportedly linked with verification of IDP registrations.",Yes,"Official Report"
1972,2014,11,24,SO,Somalia,Bay,Baydhaba,Toosweyne,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,Kidnapping,"Individual attack","Project site",3.128817,43.652716,Political,"Non-state armed group: Regional","Al Shabaab","Al-Shabaab fighters abducted two local NGO staff members in Toosweyne. The abducted staff members were on a mission to visit a health facility in the area and were working on an immunization program. The NGO staff workers were released on 11/12 after 17 days in detention after the intervention of local elders.",Yes,"Official Report"
1863,2014,12,3,SO,Somalia,Banadir,Banadir,Mogadishu,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,4,0,0,"Body-borne IED",Ambush,Road,2.033333,45.35,Political,"Non-state armed group: Regional","Al Shabaab","Four Somali staff of a security firm contracted by the UN were killed when an Al Shabaab suicide bomber attacked a UN convoy near the Mogadishu airport.",Pending,Media
2036,2015,1,6,SO,Somalia,Hiraan,Beledweyne,Bacda,0,0,0,0,3,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,Shooting,Ambush,Road,4.742941,45.200936,Unknown,"Non-state armed group: Unknown","Not applicable","One NGO staff worker was killed and two injured when their car was fired apon by armed militia at an illegal checkpoint in Bacda. The motive for the attack is unknown.",Yes,"Official Report"
2037,2015,2,8,SO,Somalia,Sool,Taleex,Hodan,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,Shooting,Ambush,Road,9.149052,48.420033,Unknown,Unknown,Unknown,"Reportedly, one local NGO aid worker was killed and one injured when the vehicle that they were travelling in was fired upon by armed men driving in another car. The motive for the attack is unknown.",Yes,"Official Report"
2038,2015,2,14,SO,Somalia,Mudug,Gaalkacyo,"Gaalkacyo (south)",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack",Unknown,6.787273,47.439235,Incidental,Unaffiliated,"Not applicable","A local NGO worker stabbed a colleague during a personal dispute.",Yes,"Official Report"
2039,2015,2,20,SO,Somalia,Banadir,Banadir,"Mogadishu, Xamar Weyne",0,3,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,"Complex attack",Raid,"Public location",2.03153,45.337701,Political,"Non-state armed group: Regional","Al Shabaab","Two NGO staff members were injured and one killed in a complex attack in Mogadishu. Approximately 25 people were killed by al Shabaab at the Central Hotel and a local mosque close to the hotel as a result.",Yes,"Official Report"
2040,2015,4,2,SO,Somalia,Hiraan,Beledweyne,"Beledweyne, Hawl-Wadaag",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,4.726904,45.191571,Incidental,Unknown,Unknown,"A driver for an INGO was shot and injured in Hawl-Wadaag. He was taken to the hospital because his wounds required surgical intervention. The attack was reportedly a result of tension between clans.",Yes,"Official Report"
1966,2015,4,12,SO,Somalia,Gedo,Baardheere,"Between Garilley and Fafahdhun (Faafaz dhunn)",2,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,5,0,0,Kidnapping,Ambush,Road,3.062778,41.648056,Political,"Non-state armed group: Regional","Al Shabaab","According to a local media report, 3 aid workers for an INGO, 2 UN contracted staff from a private company, and 2 private company staff members (not counted here), were kidnapped in Gedo by armed gunmen thought to be part of Al Shabaab. The aid workers were allegedly abducted between Garilley and Fafahdun towns and taken to Bardere. They were all released on different dates with the help of local elders and the last release of the INGO staff members took place on June 14th.",Yes,Media
1911,2015,4,20,SO,Somalia,Nugal,Garoowe,Garoowe,4,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,4,2,2,0,"Roadside IED","Individual attack",Road,8.4,48.483333,Political,"Non-state armed group: Regional","Al Shabaab","Four international UN staff members were killed when a roadside bomb exploded next to their minibus. They were traveling from their guesthouse to their office in Garowe. Al Shabab, a extremist group with links to Al-Qaeda, claimed responsibility for the attack, according to The Associated Press.",Yes,Media
2043,2015,6,21,SO,Somalia,"Lower Shabelle",Marka,Marka,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",1.717466,44.768614,Unknown,Unknown,Unknown,"Attackers armed with guns shot and killed a man in Wadajir neighbourhood. The victim was working for an INGO.",Yes,"Official Report"
2044,2015,7,22,SO,Somalia,Bay,Baydhaba,"Baydhaba, Hawl-Wadaag",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,Shooting,Raid,Home,3.11405,43.651925,Unknown,Unknown,Unknown,"A woman working for a local NGO was shot in her home by intruders.",Yes,"Official Report"
2045,2015,7,22,SO,Somalia,Bay,Baydhaba,Kalabeyr,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,10.829661,49.252466,Incidental,"Non-state armed group: Unknown","Not applicable","Two INGO vehicles were stopped by a militia close to Belet Weyne. The 5 INGO staff traveling in the vehicle were temporarily detained but released after clan elders negotiated on their behalf . One of the INGO drivers is still being held. The motive was said to be clan related.",Yes,"Official Report"
2123,2015,11,11,SO,Somalia,Banadir,Banadir,"Mogadishu, Wadajir",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,Shooting,Ambush,Road,2.046934,45.318162,Unknown,"Host State","Somali Armed Forces","A female national INGO aid worker was driving an ambulance when she was shot by Somali forces. The bullet hit her in the leg.",Yes,"Focal Point"
2063,2015,11,14,SO,Somalia,Hiraan,Beledweyne,Beledweyne,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack",Road,4.742941,45.200936,Unknown,Unknown,Unknown,"A UN contractor was killed after an assailant in another vehicle pulled up to his car and shot at it. The contractor died of his injuries at the hospital.",Yes,"Official Report"
2033,2015,12,14,SO,Somalia,Banadir,Banadir,Mogadishu,1,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,Shooting,Ambush,Road,2.046934,45.318162,Unknown,Unknown,Unknown,"Unidentified gunmen shot an employee of a UN agency and an INGO in Somalia's capital Mogadishu. The victim and her colleague from a partner organization, who was driving a private vehicle, were attacked while travelling through Mogadishu. Both were killed.",Yes,"Official Report"
2048,2016,1,21,SO,Somalia,Banadir,Banadir,Mogadishu,1,1,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,2,0,0,"Complex attack",Raid,"Public location",3.11718,45.356821,Political,"Non-state armed group: Regional","Al Shabaab","In a complex attack by Al-Shabab, a car packed with explosives rammed into the Beach View Hotel on Lido beach in Mogadishu, reportedly killing up to 20 people (not counted here). A national staff member for the UN was among those killed when the restaurants along Lido beach were attacked. A national INGO staff member was also wounded in the attack.",Yes,"Official Report"
2204,2016,2,24,SO,Somalia,Nugal,Garoowe,Garoowe,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,"Bodily assault","Individual attack","Public location",8.4,48.466667,Economic,Unknown,Unknown,"One female INGO national staff member was stabbed at the front gate of her home. The robbers took her mobile phone and then fled. She was treated at the hospital.
",Yes,"Official Report"
2225,2016,2,28,SO,Somalia,Bay,Baydhaba,Baydhaba,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,"Roadside IED",Unknown,Unknown,3.11718,43.6469,Unknown,Unknown,Unknown,"Two aid workers for a local NGO were killed in IED blasts in Baidoa.",Yes,"Official Report"
2042,2016,4,6,SO,Somalia,Nugal,Garoowe,Garoowe,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,"Bodily assault","Individual attack",Unknown,8.408416,48.483724,Incidental,Unaffiliated,"Not applicable","Two INGO staff members were stabbed with a knife by a civilian over a land dispute.",Yes,"Official Report"
2170,2016,4,14,SO,Somalia,Gedo,,Likoley,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,2.826288,40.946045,Political,"Non-state armed group: Regional","Al Shabaab","A contracted driver for a UN agency was abducted by suspected Al Shabaab fighters near Likoley and Elade, Gedo region in Somalia while carrying humanitarian supplies to a distribution site. The truck was looted. As a result of this incident, deliveries of humanitarian supplies have not resumed to those areas. The driver was released after one week.",Yes,"Focal Point"
2205,2016,4,24,SO,Somalia,"Lower Juba",Jamaame,Jamaame,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,Kidnapping,"Individual attack",Home,0.06916,42.738201,Political,"Non-state armed group: Regional","Al Shabaab","A local female INGO staff worker was detained by Al-Shabaab fighters in Jamaame. She and five other civilians were detained at the same time and put in jail. She was on leave at the time and accused of working for an American NGO. She spent more than a week in prison and was conditionally released (she was required to stay in the village pending investigation on the charges brought against her by Al-Shabaab). The aid worker was released on April 24th, 2016.
",Yes,"Official Report"
2206,2016,6,1,SO,Somalia,Banadir,Banadir,"Mogadishu, Hodan",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Complex attack",Raid,"Public location",2.043497,45.300802,Incidental,"Non-state armed group: Regional","Al Shabaab","One local NGO staff member was killed in a complex attack on the Ambassador Hotel in Hodan District. A suicide bomber drove a vehicle laden with explosives into the hotel which was then stormed by Al-Shabaab fighters. Reportedly, more than 20 people were killed in the attack and more than fifty were injured, including the local NGO staff member.
",Yes,"Official Report"
2103,2016,6,25,SO,Somalia,Banadir,Banadir,Mogadishu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Complex attack",Ambush,"Public location",2.046934,45.318162,Incidental,"Non-state armed group: Regional","Al Shabaab","One INGO staff member was killed as a result of a Al Shaabab attack on the Naso Hablod hotel in Mogadishu. The staff member was standing across the street when the initial blast from the VBIED occurred at the entrance to the hotel. He died as a result of his injuries as did 14 other people. Twenty-five civilians were also injured in the attack.",Yes,Media
2246,2016,7,26,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Vehicle-born IED",Ambush,Road,2.046934,45.318162,Political,"Non-state armed group: Unknown","Not applicable","A vehicle-borne IED detonated close to a UN compound as a convoy was passing. One national UN staff member was walking near the explosion and was killed instantly as a result of the explosion.",Yes,"Focal Point"
2261,2016,8,25,SO,Somalia,Banadir,Banadir,Mogadishu,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,"Complex attack",Raid,"Public location",2.046934,45.318162,Incidental,"Non-state armed group: Regional","Al Shabaab","Two INGO aid workers jumped from the second floor of their hotel to get away from an Al-Shaabab attack on a restaurant that was in close proximity to the hotel. One of the aid workers hurt his shoulder in the escape and had to be admitted to the hospital and then was transferred after they were both evacuated to Nairobi.",Yes,"Focal Point"
2207,2016,9,21,SO,Somalia,Galguduud,Cabudwaaq,Cabudwaaq,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,1,0,2,Shooting,Ambush,Road,6.247407,46.226018,Economic,"Non-state armed group: Unknown","Not applicable","Two national staff members and their driver were shot and killed while travelling from Balanbal to Cabudwaaq.&nbsp;Reportedly, they were specifically targeted by another clan due to a work dispute.
",Yes,"Official Report"
2226,2016,10,7,SO,Somalia,Mudug,Gaalkacyo,Gaalkacyo,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,"Public location",6.769239,47.430611,Incidental,"Non-state armed group: Unknown","Not applicable","An INGO local contractor was hit by a stray bullet during clashes between armed forces in Gaalkacyo. He later died in the hospital as a result of his injuries.",Yes,"Official Report"
2367,2017,1,4,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Vehicle-born IED",Raid,Office/compound,2.046934,45.318162,Political,"Non-state armed group: Regional","Al Shabaab","At least one guard for a UN agency was severely wounded when a car bomb exploded in the organization's garage. The security guard is a Somali national. Al-Shabaab reportedly took responsibility for the attack. Three additional security guards were injured in the attack (not currently counted here because the information on the additional guards could not be verified).",Yes,"Official Report"
2230,2017,1,25,SO,Somalia,Banadir,Banadir,"Mogadishu, Waberi",2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,"Complex attack",Raid,"Public location",2.03596,45.327206,Incidental,"Non-state armed group: Regional","Al Shabaab","Two UN staff members were injured during a complex attack by Al-Shabaab on Hotel Dayah, which was popular with government officials and politicians. A car with explosives was first used to breach the gate of the hotel, followed by a raid on the hotel and then a secondary blast. Reportedly, 28 people died in the attack and 43 were wounded.",Yes,Media
2234,2017,2,23,SO,Somalia,Hiraan,Beledweyne,Beledweyne,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping,Raid,"Project site",4.742941,45.200936,Unknown,"Non-state armed group: Regional","Al Shabaab","Three national aid workers for an INGO were reportedly abducted by suspected Al-Shabaab gunmen at Hajub, near Beledweyne. They were providing humanitarian assistance to drought-affected beneficiaries at the time of the attack. They were all released within a week.",Yes,Media
2237,2017,3,22,SO,Somalia,Gedo,Baardheere,Baardheere,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",2.339047,42.288006,Unknown,"Non-state armed group: Regional","Al Shabaab","A Red Cross national staff member was reportedly shot and killed not far from where he lived in Bardhere town by two suspected al-Shabaab militants. Although it appears that he was targeted, it is unclear whether he was targeted because of his work for an aid organization or because of a personal dispute.",Yes,Media
2307,2017,7,16,SO,Somalia,Bay,Baydhaba,Baydhaba,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,7,7,5,2,0,Kidnapping,Unknown,Unknown,2.99087,43.860168,Political,"Non-state armed group: Regional","Al Shabaab","Seven humanitarian workers kidnapped by al-Shabaab on July 16th near Baidoa, southwest of the capital Mogadishu, were released after being held for 8 days. According to early local media reports, a ransom was paid although the type (monetary, resource or other) cannot be currently verified.",Pending,Media
2323,2017,10,14,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,0,18,0,0,5,13,0,18,0,0,0,0,5,13,0,18,0,0,18,"Vehicle-born IED",Raid,"Public location",2.046934,45.318162,Incidental,"Non-state armed group: Regional","Al Shabaab","Five aid workers from that Somali Red Crescent died after a massive truck bomb exploded in Mogadishu, followed by another, smaller, bomb. An additional thirteen aid workers (3 volunteers, 7 staff members, and 3 security guards) were wounded in the attack. Over 300 hundred people are reported to have been killed with scores more still missing. Although no credit has been taken for the attack, Al-Shabaab is widely reported as being the only group with the means to execute such an attack. This was the largest terrorist attack that Somalia has experienced in its history.
",Yes,Media
2471,2017,10,28,SO,Somalia,Banadir,Banadir,Mogadishu,4,0,0,0,0,0,3,1,0,4,0,0,0,0,3,1,0,4,4,0,0,"Vehicle-born IED",Ambush,Road,2.046934,45.318162,Incidental,"Non-state armed group: Regional","Al Shabaab","Two UN contracted guards and one contracted driver were killed in the suicide car bombing attack on the Naasa-Hablood Hotel in Mogadishu. A UN agency staff member who as also in the car survived but was also seriously wounded. He managed to jump out of the vehicle before the explosion. The national staff member received care in the local hospital and then was MEDEVAC to Nairobi for specialized medical attention. At least twenty-three people died in the attack.
",Yes,"Focal Point"
2347,2018,1,27,SO,Somalia,Banadir,Banadir,"Mogadishu, Wadajir",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,"Individual attack",Office/compound,2.046934,45.318162,Economic,"Staff member","Security guard","A UN agency staff member was shot dead in Mogadishu within the agency's compound. A security guard that had previously been fired and then reinstated to his post allegedly shot the employee. The motive for the attack appears to be in relation to that human resources incident.",Yes,Media
2383,2018,3,28,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Vehicle-born IED","Individual attack","Public location",2.032194,45.304361,Political,"Non-state armed group: Regional","Al Shabaab","One ICRC staff member was critically injured when an Improvised Explosive Device in a car was detonated outside of the ICRC's office. The staff member later died in the hospital as a result of his injuries. Al-Shabaab claimed responsibility for the attack and mentioned via their media portal that they killed the victim because he was a member of Parliament. The victim had been working for the ICRC for five months. One other person was hurt in the attack (not counted here).",Yes,"Focal Point"
2408,2018,5,1,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shooting,"Individual attack","Public location",2.046934,45.318162,Unknown,Unknown,Unknown,"One United Nations female staff member working for agency's immunization program was shot and killed by armed gunmen in Bakara market in the capital, Mogadishu. Although her duty station was in Baidoa town, she was off-duty in Mogadishu buying items for her upcoming wedding, according to a statement made by a family member.",Yes,Media
2407,2018,5,2,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,Kidnapping,"Individual attack",Office/compound,2.046934,45.318162,Unknown,"Non-state armed group: Regional",Unknown,"A female international staff member working for the ICRC was kidnapped from inside the organization's compound by armed men in Mogadishu on Wednesday evening. Local security authorities have called this an inside job and are investigating whether this incident involved a local private security firm that was staffing the compound. At least one guard is suspected of participating in the kidnapping. Information about any of the perpetrators cannot be confirmed at this time. The motive for the kidnapping is unknown and concern for the aid worker's safety have been expressed. Al-Qaeda affiliated Al-Shabaab operates in Somalia and is active in Mogadishu.",Yes,Media
2696,2018,5,26,SO,Somalia,Mudug,Jariban,Jariban,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,"Individual attack","Project site",7.216667,48.85,Economic,"Aid recipient","Not applicable","One male national INGO staff member was shot and wounded by an aid recipient at a project site. Reports indicate the perpetrator was upset with being missed during an aid distribution.",Yes,"Focal Point"
2514,2018,8,9,SO,Somalia,Bay,Baydhaba,Miidowow,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,4,Kidnapping,Ambush,Road,3.111621,43.491606,Unknown,"Non-state armed group: Unknown","Not applicable","Armed men reportedly abducted Somali Red Crescent staff members near Baidoa town on August 9th. The staff members were on a mission to provide aid to drought-affected beneficiaries when they were abducted from the camp at gunpoint during a food distribution operation. It's unclear who kidnapped the staff members but militants have previously carried out attacks in the region. The staff members were released on 23rd August 2018.
",Yes,"Focal Point"
2599,2018,8,11,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,2,0,2,0,Kidnapping,Unknown,Unknown,2.05003,45.322399,Unknown,"Non-state armed group: Unknown","Not applicable","Two female health workers employed by a local NGO were abducted by an AOG. Local community members negotiated for their release. The staff members were held for approximately 36 hours.",Yes,"Focal Point"
2708,2018,9,29,SO,Somalia,Mudug,Jariban,Jariban,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack","Public location",7.216667,48.85,Political,"Aid recipient","Not applicable","One male national INGO worker was seriously injured after being assaulted by a disgruntled aid recipient who was reportedly not included in an aid distribution.",Yes,"Focal Point"
2586,2019,2,28,SO,Somalia,Gedo,Garbahaarey,,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,6,Kidnapping,Unknown,Unknown,2.76956,42.06527,Unknown,"Non-state armed group: National",Unknown,"6 national aid workers have reportedly been kidnapped in the Gedo region of Somalia. Initial reports indicate around 10 people were taken, but some managed to escape and alert authorities. Although no group has officially taken responsibility, Al Shabaab is being blamed.",Yes,Media
2960,2019,5,14,SO,Somalia,Gedo,Doolow,Geedweyne,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,Kidnapping,"Individual attack","Project site",4.030278,42.296667,Unknown,"Non-state armed group: Regional","Al Shabaab","Two INGO national staff members were reportedly kidnapped in Geedweyne, 30km east of Doolow.&nbsp;The staff members were on mission in the remote village when the incident occurred. Information on their release is unavailable at this time.
",Yes,Media
2727,2019,7,2,SO,Somalia,Gedo,Baardheere,"Bula Cadey",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,2.333333,42.283333,Unknown,"Non-state armed group: Unknown","Not applicable","The head of a local NGO in the Gredo region of Somalia was killed by a group of armed assailants approximately 4km from Baardheere in Bula Cadey. Three NGO staff members were also taken at the same time as the killing, and were released unharmed 5 hours later and 46km away (not counted here).",Yes,"Official Report"
